Ano,Homicídio Doloso por 100 mil habitantes,Furto por 100 mil habitantes,Roubo por 100 mil habitantes,Furto e Roubo de Veículo por 100 mil habitantes,Furto por 100 mil veículos,Roubo por 100 mil veículos,Furto e Roubo de Veículo por 100 mil veículos,Cidade,Regiao
"2008,""21,79"",""800,83"",""1.010,10"",""639,88"",""789,90"",""1.309,33"",""2.099,23"",Diadema,Grande São Paulo (exclui a Capital)"
"2009,""14,87"",""753,99"",""1.150,15"",""866,39"",""900,46"",""1.725,81"",""2.626,27"",Diadema,Grande São Paulo (exclui a Capital)"
"2010,""20,99"",""716,88"",""911,00"",""832,47"",""720,54"",""1.580,03"",""2.300,56"",Diadema,Grande São Paulo (exclui a Capital)"
"2011,""9,02"",""772,12"",""1.083,03"",""812,59"",""634,68"",""1.410,83"",""2.045,51"",Diadema,Grande São Paulo (exclui a Capital)"
"2012,""12,57"",""963,17"",""980,61"",""1.057,54"",""826,15"",""1.624,96"",""2.451,12"",Diadema,Grande São Paulo (exclui a Capital)"
"2013,""14,79"",""915,72"",""1.214,41"",""1.311,08"",""633,16"",""2.219,10"",""2.852,26"",Diadema,Grande São Paulo (exclui a Capital)"
"2014,""13,19"",""924,57"",""1.606,57"",""1.143,53"",""657,71"",""1.808,44"",""2.466,16"",Diadema,Grande São Paulo (exclui a Capital)"
"2015,""11,86"",""859,59"",""1.705,56"",""943,63"",""553,91"",""1.378,06"",""1.931,97"",Diadema,Grande São Paulo (exclui a Capital)"
"2016,""8,29"",""812,08"",""1.858,91"",""1.068,45"",""589,09"",""1.551,26"",""2.140,34"",Diadema,Grande São Paulo (exclui a Capital)"
"2017,""9,51"",""849,54"",""1.679,31"",""940,40"",""544,02"",""1.297,31"",""1.841,33"",Diadema,Grande São Paulo (exclui a Capital)"
"2018,""8,42"",""852,27"",""1.538,70"",""790,14"",""491,19"",""1.028,08"",""1.519,27"",Diadema,Grande São Paulo (exclui a Capital)"
"1999,""79,15"",""337,13"",""396,74"",""500,44"",-,-,-,Embu das Artes,Grande São Paulo (exclui a Capital)"
"2000,""73,70"",""337,97"",""408,76"",""570,72"",-,-,-,Embu das Artes,Grande São Paulo (exclui a Capital)"
"2001,""93,56"",""363,33"",""414,62"",""438,85"",""1.649,29"",""2.631,46"",""4.280,75"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2002,""75,74"",""438,09"",""396,94"",""396,01"",""1.225,56"",""2.366,31"",""3.591,88"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2003,""56,17"",""485,26"",""395,94"",""300,64"",""991,01"",""1.517,25"",""2.508,26"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2004,""38,55"",""477,14"",""327,92"",""255,80"",""928,69"",""1.004,08"",""1.932,77"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2005,""32,63"",""377,20"",""316,87"",""277,09"",""1.030,49"",""871,01"",""1.901,49"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2006,""25,11"",""414,90"",""314,92"",""270,00"",""943,52"",""718,49"",""1.662,01"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2007,""19,54"",""422,93"",""395,57"",""211,46"",""602,98"",""526,45"",""1.129,43"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2008,""23,13"",""397,43"",""467,24"",""235,98"",""674,71"",""445,07"",""1.119,78"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2009,""16,90"",""431,03"",""515,96"",""284,82"",""631,77"",""581,37"",""1.213,15"",Embu das Artes,Grande São Paulo (exclui a Capital)"
"2010,""16,67"",""382,18"",""575,15"",""358,01"",""629,28"",""679,56"",""1.308,83"",Embu das Artes,Grande São Paulo (exclui a Capital)"
